1547528724160825967,0
1547528799566227912,0.48872
1547528827368311882,0.79707
1547528867571075916,1.0104
1547528894172962903,1.089
1547528986979594945,1.1604
1547529010181519031,1.206
1547529042783652067,1.2259
1547529086186584949,1.2486
1547529321603363037,1.3108
1547529364806327104,1.2645
1547529391808312892,1.2314
1547529423410594940,1.2154
1547529442611777067,1.1809
1547529470613938093,1.1024
1547529493215475082,0.93799
1547529514216989994,0.77163
1547529541418802976,0.30651
1547529592822457075,0.23411
1547529630625140905,1.4488
1547529650826718091,1.4774
1547529675628701925,1.4729
1547529708030849933,1.4589
1547529732832628965,1.4469
1547529785436461925,1.4371
1547529834040005922,1.4353
1547529872742778062,1.5378
1547529898944755077,1.5679
1547529925546634912,1.6049
1547529947148217916,1.6474
1547529967749798059,1.8573
1547529990351161003,2.3107